player_id,overall_elo,grass_elo
211903,1507.46,1500.0
223335,1507.3,1500.0
203521,1506.43,1500.0
221996,1506.42,1500.0
204411,1506.13,1459.89
213926,1505.89,1500.0
215950,1505.86,1500.0
221909,1505.34,1511.5
211887,1505.29,1499.84
212303,1504.73,1500.0
222966,1504.73,1500.0
203315,1504.17,1500.0
211544,1504.06,1500.0
214119,1503.71,1459.61
201481,1503.45,1500.0
216097,1503.34,1504.46
201444,1503.01,1521.49
206219,1502.73,1462.39
201610,1502.65,1439.32
215784,1502.55,1500.0
221837,1502.17,1500.0
214617,1502.11,1500.0
223134,1501.92,1500.0
203575,1501.82,1460.55
221235,1501.78,1500.0
239392,1501.53,1500.0
213674,1501.47,1500.0
213828,1501.37,1500.0
201620,1501.32,1457.53
210046,1501.24,1500.0
221364,1500.79,1500.0
221844,1500.7,1500.0
221024,1500.62,1478.69
206136,1500.49,1500.0
202578,1500.49,1500.0
216081,1500.37,1506.43
214521,1500.35,1500.0
214181,1500.27,1454.38
223133,1500.13,1500.0
223135,1500.02,1500.0
214176,1500.01,1500.0
221816,1499.82,1500.0
215138,1499.75,1500.0
205787,1499.26,1500.0
204420,1499.2,1500.0
213721,1499.03,1500.0
221004,1498.98,1500.0
201578,1498.72,1500.0
210926,1498.69,1500.0
216566,1498.68,1500.0
215019,1498.66,1500.0
216117,1498.59,1500.0
238065,1498.58,1500.0
215672,1498.56,1500.0
214905,1498.39,1500.0
252499,1498.13,1500.0
215627,1497.99,1500.0
205789,1497.86,1500.0
222259,1497.8,1500.0
216074,1497.63,1500.0
221979,1497.54,1500.0
205462,1497.33,1500.0
222919,1497.23,1500.0
259104,1497.17,1500.0
260339,1497.1,1500.0
213657,1496.88,1500.0
204362,1496.46,1500.0
223321,1496.42,1500.0
204355,1496.24,1500.0
201616,1496.07,1458.36
220309,1495.89,1484.35
201465,1495.55,1555.89
223194,1495.5,1480.11
210622,1495.18,1500.0
215566,1494.84,1500.0
213710,1494.58,1443.78
221746,1494.48,1500.0
214040,1494.4,1521.55
215806,1494.22,1500.0
221190,1493.79,1500.0
203354,1492.92,1400.25
214541,1492.57,1500.01
221247,1492.46,1500.0
213525,1492.3,1403.42
221354,1491.9,1500.0
234222,1491.9,1500.0
212805,1491.89,1500.0
201443,1491.87,1500.0
